23:39:8.3,50:28:18
2:13:36.3,51:3:57
2:20:58.2,50:9:5
2:24:24.9,50:0:24
2:25:37.4,50:16:43
23:4:11.0,50:3:8
0:10:19.3,46:4:20
0:13:30.8,41:2:7
23:34:37.5,40:14:11
23:37:33.9,46:27:29
23:37:32.0,44:25:45
23:38:8.2,43:16:5
23:40:24.5,44:20:2
23:46:2.1,46:25:13
23:57:3.6,42:39:30
0:28:13.7,44:23:40
0:36:46.6,44:29:19
0:41:7.2,39:27:31
0:49:48.8,41:4:44
1:2:54.3,41:20:42
1:8:0.9,43:56:31
1:9:30.2,47:14:31
1:10:18.8,42:4:53
1:22:20.4,45:31:44
1:26:18.6,43:27:28
1:27:39.4,45:24:24
1:30:6.2,47:0:26
1:36:27.2,48:43:22
1:36:47.8,41:24:20
1:37:59.6,48:37:42
1:39:21.0,44:23:10
1:40:39.8,43:17:52
1:40:34.8,40:34:37
1:41:47.2,42:36:49
1:53:17.3,40:43:47
2:3:54.0,42:19:47
2:3:54.7,42:19:51
2:10:52.8,39:2:22
2:13:13.3,44:13:54
2:19:16.8,47:22:48
2:22:50.3,41:23:47
23:1:55.3,42:19:34
23:2:36.3,42:45:28
23:7:39.3,46:23:14
23:7:45.4,49:17:45
23:10:27.2,43:32:39
23:12:33.0,49:24:23
23:17:44.7,49:0:55
23:19:29.8,48:37:31
23:19:52.4,42:4:41
23:27:7.4,42:54:43
23:31:17.4,39:14:11
0:8:23.3,29:5:26
0:17:5.5,38:40:54
23:49:41.0,36:25:31
0:18:19.7,36:47:7
0:18:38.3,31:31:2
0:20:24.4,30:56:9
0:20:45.5,32:54:41
0:21:7.3,37:58:7
0:30:7.3,29:45:6
0:31:25.6,33:34:54
0:36:52.9,33:43:10
0:37:21.1,35:23:58
0:38:33.3,29:18:42
0:39:19.7,30:51:39
0:56:45.2,38:29:58
0:58:14.2,33:57:3
1:9:43.9,35:37:14
1:11:10.3,37:43:27
1:23:40.6,37:42:54
1:34:16.6,37:14:14
1:48:38.9,37:57:10
1:55:54.4,37:16:40
1:56:9.3,37:15:6
2:8:29.3,37:51:33
2:35:38.8,37:18:44
2:36:57.2,38:43:58
23:20:53.3,38:10:56
0:47:20.3,24:16:2
0:54:58.0,23:37:42
0:57:12.4,23:25:3
9:29:54.5,-26:35:23
9:37:0.2,-25:17:48
9:44:12.1,-27:46:10
10:18:7.6,-28:59:31
10:29:35.4,-30:36:26
18:58:14.7,17:21:39
18:55:27.5,6:36:55
18:58:46.9,13:54:24
18:59:5.7,13:37:21
18:59:37.4,15:4:6
19:5:24.6,13:51:48
19:6:58.6,11:4:17
19:8:59.9,6:4:24
19:15:20.1,15:5:1
19:16:26.8,14:32:41
19:17:49.0,11:35:43
19:19:39.3,12:22:29
19:24:58.2,11:56:40
19:26:24.1,13:1:26
19:29:22.1,14:35:45
19:34:5.4,7:22:44
19:36:52.5,11:16:24
19:42:34.0,11:49:36
19:45:39.9,7:36:48
19:46:15.6,10:36:48
19:48:42.1,11:48:57
19:50:47.0,8:52:6
19:51:1.6,10:24:56
19:54:14.9,8:27:41
19:55:18.8,6:24:24
19:56:14.3,11:25:26
20:0:58.9,8:33:29
20:3:30.0,16:1:53
20:4:8.3,7:16:41
20:14:16.6,15:11:51
18:44:49.9,2:3:36
18:46:28.5,-0:57:42
19:2:54.5,-3:41:56
19:3:32.2,1:49:8
